country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,11500000,11600000,11800000,12000000,12100000,12300000,12500000,12600000,12700000,12900000,13000000,13200000,13300000,13400000,13500000,13700000,13800000,13900000,13900000,14000000,14100000,14200000,14300000,14400000,14400000,14500000,14600000,14700000,14800000,14800000,15000000,15100000,15200000,15300000,15400000,15500000,15500000,15600000,15700000,15800000,15900000,16000000,16100000,16200000,16300000,16300000,16300000,16400000,16400000,16500000,16600000,16700000,16800000,16800000,16900000,16900000,17000000,17100000
New Zealand,2370000,2420000,2480000,2530000,2590000,2630000,2680000,2720000,2750000,2770000,2810000,2850000,2900000,2960000,3020000,3080000,3110000,3120000,3120000,3110000,3110000,3120000,3160000,3200000,3230000,3250000,3250000,3270000,3280000,3300000,3330000,3500000,3530000,3570000,3620000,3670000,3730000,3780000,3820000,3840000,3860000,3880000,3950000,4030000,4090000,4130000,4180000,4220000,4260000,4300000,4350000,4380000,4410000,4440000,4510000,4600000,4690000,4790000
Nicaragua,1770000,1830000,1890000,1940000,2000000,2060000,2130000,2190000,2260000,2330000,2400000,2470000,2550000,2630000,2710000,2800000,2880000,2970000,3070000,3160000,3250000,3340000,3440000,3530000,3620000,3710000,3800000,3880000,3970000,4060000,4140000,4240000,4330000,4430000,4520000,4610000,4700000,4790000,4870000,4950000,5030000,5100000,5170000,5240000,5310000,5380000,5450000,5520000,5590000,5670000,5740000,5810000,5880000,5950000,6010000,6080000,6150000,6220000
Niger,3390000,3490000,3590000,3690000,3800000,3910000,4030000,4140000,4260000,4390000,4510000,4640000,4770000,4900000,5040000,5180000,5330000,5490000,5650000,5820000,5990000,6160000,6340000,6530000,6720000,6920000,7120000,7320000,7540000,7770000,8010000,8270000,8550000,8840000,9150000,9480000,9820000,10200000,10600000,10900000,11400000,11800000,12200000,12700000,13100000,13600000,14100000,14700000,15200000,15800000,16400000,17100000,17700000,18400000,19100000,19900000,20700000,21500000
Nigeria,45100000,46100000,47000000,48000000,49100000,50100000,51200000,52300000,53500000,54700000,56000000,57300000,58700000,60100000,61700000,63400000,65200000,67200000,69300000,71400000,73500000,75500000,77500000,79500000,81500000,83600000,85800000,88100000,90500000,92800000,95300000,97700000,100000000,103000000,105000000,108000000,111000000,114000000,116000000,119000000,122000000,125000000,129000000,132000000,135000000,139000000,143000000,146000000,150000000,154000000,159000000,163000000,167000000,172000000,176000000,181000000,186000000,191000000
North Korea,11400000,11700000,11900000,12100000,12300000,12500000,12900000,13200000,13600000,14000000,14400000,14800000,15200000,15600000,16000000,16300000,16600000,16800000,17000000,17200000,17500000,17700000,18000000,18300000,18600000,18900000,19200000,19400000,19700000,20000000,20300000,20600000,20900000,21300000,21600000,21900000,22100000,22300000,22500000,22700000,22900000,23100000,23300000,23500000,23700000,23900000,24100000,24200000,24300000,24500000,24600000,24700000,24900000,25000000,25100000,25200000,25400000,25500000
Norway,3580000,3610000,3640000,3670000,3690000,3720000,3750000,3780000,3820000,3850000,3880000,3900000,3930000,3960000,3990000,4010000,4030000,4040000,4060000,4070000,4090000,4100000,4110000,4130000,4140000,4150000,4170000,4190000,4210000,4230000,4240000,4260000,4290000,4310000,4340000,4360000,4380000,4410000,4430000,4460000,4490000,4510000,4540000,4560000,4590000,4620000,4660000,4710000,4770000,4830000,4890000,4950000,5020000,5080000,5140000,5190000,5230000,5280000
Oman,552000,565000,579000,594000,609000,625000,642000,660000,680000,701000,724000,749000,776000,807000,842000,882000,927000,978000,1030000,1090000,1150000,1220000,1290000,1360000,1430000,1500000,1560000,1620000,1680000,1740000,1810000,1890000,1980000,2070000,2150000,2200000,2240000,2250000,2250000,2250000,2270000,2290000,2330000,2390000,2440000,2510000,2580000,2660000,2760000,2880000,3040000,3240000,3460000,3710000,3960000,4200000,4420000,4640000
Pakistan,44900000,46000000,47100000,48300000,49600000,50800000,52200000,53600000,55000000,56500000,58100000,59700000,61300000,63100000,64900000,66800000,68800000,70900000,73200000,75600000,78100000,80700000,83400000,86300000,89200000,92200000,95300000,98400000,101000000,105000000,108000000,111000000,114000000,117000000,120000000,123000000,126000000,129000000,132000000,135000000,139000000,142000000,145000000,148000000,151000000,154000000,157000000,160000000,164000000,167000000,171000000,174000000,178000000,182000000,186000000,189000000,193000000,197000000
Palau,9640,9900,10200,10400,10600,10800,10900,11100,11200,11300,11500,11700,11900,12000,12200,12300,12300,12200,12200,12100,12200,12400,12700,13000,13400,13700,14000,14200,14500,14800,15100,15500,15900,16300,16800,17300,17700,18100,18500,18900,19200,19400,19600,19700,19800,19900,20000,20100,20200,20300,20500,20600,20800,20900,21100,21300,21500,21700
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980000,2070000,2160000,2260000,2370000,2470000,2590000,2710000,2780000,2850000,2920000,3000000,3080000,3150000,3240000,3320000,3410000,3490000,3600000,3700000,3810000,3930000,4050000,4170000,4290000,4420000,4550000,4680000
Panama,1130000,1170000,1200000,1240000,1280000,1310000,1350000,1390000,1430000,1480000,1520000,1560000,1610000,1650000,1700000,1750000,1790000,1840000,1880000,1930000,1980000,2030000,2070000,2120000,2170000,2220000,2270000,2320000,2370000,2420000,2470000,2520000,2580000,2630000,2680000,2740000,2800000,2850000,2910000,2970000,3030000,3090000,3150000,3210000,3270000,3330000,3390000,3450000,3520000,3580000,3640000,3710000,3770000,3840000,3900000,3970000,4030000,4100000
Papua New Guinea,2010000,2050000,2090000,2140000,2190000,2240000,2290000,2340000,2400000,2460000,2530000,2590000,2660000,2730000,2800000,2880000,2960000,3040000,3130000,3210000,3300000,3400000,3500000,3590000,3690000,3790000,3900000,4000000,4100000,4210000,4310000,4420000,4540000,4650000,4770000,4890000,5020000,5150000,5290000,5430000,5570000,5720000,5860000,6010000,6160000,6310000,6470000,6630000,6790000,6950000,7110000,7270000,7430000,7590000,7760000,7920000,8080000,8250000
Paraguay,1900000,1950000,2010000,2060000,2110000,2170000,2230000,2290000,2350000,2410000,2470000,2540000,2600000,2660000,2720000,2790000,2860000,2940000,3010000,3090000,3180000,3270000,3370000,3470000,3570000,3670000,3780000,3890000,3990000,4100000,4210000,4320000,4430000,4540000,4650000,4760000,4870000,4980000,5090000,5200000,5300000,5410000,5510000,5610000,5700000,5800000,5880000,5970000,6050000,6130000,6210000,6290000,6380000,6470000,6550000,6640000,6730000,6810000
Peru,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12300000,12600000,13000000,13300000,13700000,14100000,14400000,14800000,15200000,15600000,16100000,16500000,16900000,17400000,17800000,18200000,18700000,19100000,19500000,20000000,20500000,20900000,21400000,21800000,22300000,22700000,23200000,23600000,24000000,24400000,24800000,25200000,25600000,25900000,26300000,26600000,26900000,27300000,27600000,27900000,28300000,28600000,29000000,29400000,29800000,30200000,30600000,31000000,31400000,31800000,32200000
Philippines,26300000,27200000,28100000,29000000,30000000,30900000,31900000,32800000,33800000,34800000,35800000,36900000,37900000,39000000,40100000,41300000,42500000,43700000,44900000,46100000,47400000,48700000,50100000,51500000,52900000,54300000,55800000,57300000,58800000,60400000,61900000,63500000,65100000,66700000,68200000,69800000,71400000,73100000,74700000,76300000,78000000,79700000,81400000,83000000,84700000,86300000,87800000,89300000,90800000,92200000,93700000,95300000,96900000,98500000,100000000,102000000,103000000,105000000
Poland,29600000,30000000,30300000,30700000,31100000,31400000,31700000,32000000,32300000,32500000,32700000,32800000,33100000,33400000,33700000,34000000,34400000,34700000,35000000,35200000,35600000,35900000,36200000,36600000,36900000,37200000,37500000,37700000,37800000,38000000,38100000,38200000,38400000,38500000,38500000,38600000,38600000,38600000,38700000,38700000,38300000,38200000,38200000,38200000,38200000,38200000,38100000,38100000,38100000,38200000,38000000,38100000,38100000,38000000,38000000,38000000,38000000,38000000
Portugal,8860000,8930000,8990000,9030000,9040000,9000000,8930000,8870000,8840000,8760000,8680000,8640000,8630000,8630000,8750000,9090000,9360000,9460000,9560000,9660000,9770000,9850000,9910000,9960000,10000000,10000000,10000000,10000000,10000000,10000000,9980000,9960000,9950000,9960000,9990000,10000000,10100000,10100000,10200000,10200000,10300000,10400000,10400000,10500000,10500000,10500000,10500000,10500000,10600000,10600000,10600000,10600000,10500000,10500000,10400000,10400000,10300000,10300000
Qatar,47400,51400,56300,61700,67600,73600,79800,86300,93200,101000,110000,119000,131000,142000,154000,164000,174000,182000,192000,205000,224000,248000,277000,309000,341000,371000,398000,422000,444000,462000,476000,487000,496000,502000,507000,513000,522000,535000,550000,569000,592000,617000,646000,689000,759000,865000,1010000,1190000,1390000,1590000,1780000,1950000,2110000,2250000,2370000,2480000,2570000,2640000
Romania,18400000,18600000,18700000,18800000,18900000,19000000,19200000,19500000,19800000,20000000,20300000,20500000,20700000,20800000,21000000,21300000,21600000,21800000,22000000,22100000,22200000,22400000,22500000,22600000,22700000,22800000,22900000,22900000,23100000,23200000,23200000,23000000,22800000,22800000,22700000,22700000,22600000,22600000,22500000,22500000,22400000,22100000,21700000,21600000,21500000,21300000,21200000,20900000,20500000,20400000,20200000,20100000,20100000,20000000,19900000,19800000,19700000,19600000
Russia,120000000,121000000,123000000,124000000,125000000,127000000,127000000,128000000,129000000,130000000,130000000,131000000,132000000,133000000,133000000,134000000,135000000,136000000,137000000,138000000,139000000,140000000,141000000,142000000,143000000,144000000,145000000,146000000,147000000,148000000,148000000,149000000,149000000,149000000,148000000,148000000,148000000,148000000,148000000,147000000,147000000,146000000,145000000,145000000,144000000,144000000,143000000,143000000,143000000,143000000,143000000,143000000,143000000,144000000,144000000,144000000,144000000,144000000
Rwanda,2930000,3000000,3050000,3100000,3160000,3230000,3320000,3420000,3530000,3640000,3750000,3870000,3980000,4100000,4230000,4360000,4500000,4650000,4800000,4970000,5140000,5320000,5490000,5670000,5880000,6120000,6410000,6730000,7030000,7220000,7240000,7050000,6700000,6300000,6010000,5930000,6120000,6520000,7060000,7590000,8030000,8330000,8540000,8680000,8820000,8990000,9210000,9450000,9710000,9980000,10200000,10500000,10800000,11100000,11300000,11600000,11900000,12200000
Samoa,109000,112000,116000,120000,123000,127000,131000,134000,138000,141000,143000,145000,147000,149000,150000,151000,152000,153000,154000,155000,156000,156000,157000,158000,159000,160000,161000,161000,161000,162000,163000,164000,166000,167000,169000,170000,171000,172000,173000,174000,175000,176000,177000,178000,179000,180000,181000,182000,184000,185000,186000,188000,189000,191000,192000,194000,195000,196000
San Marino,15400,15800,16200,16600,17000,17400,17800,18200,18600,18900,19100,19300,19400,19500,19600,19700,20000,20300,20700,21000,21400,21700,21900,22200,22500,22700,23000,23200,23500,23700,24000,24400,24700,25100,25500,25900,26200,26500,26800,27100,27400,27800,28100,28500,28900,29200,29600,30000,30400,30700,31100,31500,31900,32300,32700,33000,33200,33400
Sao Tome and Principe,64300,64600,64400,64200,64200,64800,66100,67900,70000,72200,74300,76000,77500,79000,80700,82600,84900,87400,90100,92600,94900,97000,98700,100000,102000,104000,105000,107000,109000,112000,114000,116000,119000,121000,124000,126000,129000,131000,133000,136000,139000,142000,145000,148000,152000,156000,159000,163000,167000,171000,175000,179000,183000,187000,191000,196000,200000,204000
Saudi Arabia,4090000,4220000,4360000,4520000,4680000,4840000,5020000,5190000,5390000,5600000,5840000,6100000,6390000,6710000,7060000,7430000,7820000,8230000,8680000,9180000,9740000,10400000,11000000,11800000,12500000,13200000,13900000,14500000,15200000,15800000,16300000,16900000,17400000,17900000,18300000,18700000,19100000,19500000,19900000,20300000,20800000,21300000,21900000,22600000,23200000,23900000,24600000,25300000,25900000,26700000,27400000,28200000,29100000,29900000,30800000,31600000,32300000,32900000
Senegal,3210000,3300000,3390000,3480000,3580000,3680000,3790000,3900000,4010000,4130000,4260000,4390000,4530000,4660000,4800000,4940000,5060000,5190000,5320000,5450000,5590000,5750000,5920000,6100000,6290000,6480000,6690000,6890000,7110000,7330000,7560000,7790000,8030000,8270000,8510000,8750000,8970000,9200000,9420000,9650000,9880000,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12200000,12600000,12900000,13300000,13700000,14100000,14500000,15000000,15400000,15900000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7590000,7600000,7650000,7700000,7730000,7630000,7620000,7600000,7570000,7540000,7520000,7500000,7500000,7480000,7460000,7440000,7410000,7380000,7350000,7320000,7290000,7230000,7200000,7160000,7130000,7100000,7060000,7020000
Seychelles,41700,42900,44000,45200,46300,47500,48700,49900,51100,52400,53600,54700,56000,56900,57900,59300,60500,61800,62200,62700,63300,64000,64400,64300,64700,65200,65700,68500,68800,69200,69500,70400,70800,72300,74200,75300,76400,77300,78800,80400,81100,81200,83700,82800,82500,82900,84600,85000,87000,87300,89800,87400,88300,89900,91400,93400,94700,95800
Sierra Leone,2300000,2330000,2360000,2400000,2440000,2470000,2510000,2550000,2600000,2640000,2690000,2750000,2800000,2860000,2930000,2990000,3060000,3130000,3210000,3290000,3370000,3450000,3530000,3610000,3700000,3800000,3910000,4030000,4150000,4250000,4310000,4340000,4330000,4310000,4280000,4270000,4280000,4310000,4350000,4440000,4560000,4740000,4960000,5200000,5440000,5660000,5850000,6020000,6170000,6310000,6460000,6610000,6770000,6920000,7080000,7240000,7400000,7560000
Singapore,1650000,1700000,1750000,1800000,1840000,1890000,1930000,1980000,2010000,2040000,2070000,2110000,2150000,2190000,2230000,2260000,2290000,2330000,2350000,2380000,2410000,2530000,2650000,2680000,2730000,2740000,2730000,2770000,2850000,2930000,3050000,3140000,3230000,3310000,3420000,3520000,3670000,3800000,3930000,3960000,4030000,4140000,4180000,4110000,4170000,4270000,4400000,4590000,4840000,4990000,5080000,5180000,5310000,5400000,5470000,5540000,5610000,5610000
Slovak Republic,4070000,4190000,4240000,4280000,4330000,4370000,4410000,4450000,4480000,4520000,4540000,4560000,4600000,4640000,4690000,4740000,4790000,4840000,4890000,4940000,4980000,5020000,5060000,5090000,5130000,5160000,5190000,5220000,5250000,5280000,5300000,5300000,5310000,5330000,5350000,5360000,5370000,5380000,5390000,5400000,5390000,5380000,5380000,5370000,5370000,5370000,5370000,5370000,5380000,5390000,5390000,5400000,5410000,5410000,5420000,5420000,5430000,5440000
Slovenia,1580000,1590000,1600000,1620000,1630000,1650000,1670000,1690000,1700000,1710000,1720000,1740000,1750000,1770000,1780000,1790000,1820000,1840000,1860000,1880000,1900000,1910000,1910000,1920000,1930000,1940000,1970000,1990000,2000000,2000000,2000000,2000000,2000000,1990000,1990000,1990000,1990000,1990000,1980000,1980000,1990000,1990000,1990000,2000000,2000000,2000000,2010000,2020000,2020000,2040000,2050000,2050000,2060000,2060000,2060000,2060000,2070000,2070000
Solomon Islands,118000,121000,125000,129000,133000,137000,141000,145000,150000,155000,160000,166000,173000,179000,186000,193000,201000,208000,215000,223000,231000,238000,246000,255000,263000,271000,279000,287000,295000,303000,312000,321000,330000,339000,349000,359000,369000,380000,391000,402000,413000,424000,435000,447000,458000,470000,481000,493000,504000,516000,528000,540000,552000,564000,576000,587000,599000,611000
Somalia,2760000,2810000,2870000,2940000,3000000,3070000,3140000,3230000,3310000,3390000,3440000,3470000,3480000,3510000,3630000,3880000,4290000,4830000,5420000,5950000,6360000,6600000,6720000,6740000,6750000,6790000,6890000,7020000,7170000,7300000,7400000,7460000,7490000,7520000,7580000,7700000,7890000,8140000,8420000,8720000,9010000,9290000,9560000,9840000,10100000,10400000,10700000,11000000,11400000,11700000,12100000,12400000,12800000,13100000,13500000,13900000,14300000,14700000
South Africa,17500000,17900000,18400000,18900000,19400000,19900000,20500000,21000000,21600000,22200000,22800000,23500000,24100000,24800000,25500000,26200000,26900000,27600000,28300000,29000000,29800000,30500000,31300000,32100000,32900000,33700000,34500000,35200000,36000000,36700000,37600000,38400000,39400000,40300000,41200000,42100000,42900000,43700000,44400000,45100000,45700000,46400000,47000000,47600000,48200000,48800000,49400000,49900000,50400000,51000000,51600000,52300000,53000000,53800000,54500000,55300000,56000000,56700000
South Korea,25000000,25800000,26500000,27300000,28000000,28700000,29400000,30100000,30800000,31500000,32200000,32900000,33500000,34100000,34700000,35300000,35800000,36400000,37000000,37500000,38100000,38700000,39300000,39900000,40400000,40800000,41200000,41600000,42000000,42400000,42900000,43300000,43700000,44200000,44600000,45100000,45500000,46000000,46300000,46600000,47000000,47400000,47600000,47900000,48100000,48200000,48400000,48700000,49100000,49300000,49600000,49900000,50200000,50400000,50700000,51000000,51200000,51500000
South Sudan,2960000,3010000,3070000,3130000,3200000,3260000,3330000,3410000,3480000,3560000,3650000,3730000,3820000,3920000,4020000,4120000,4220000,4330000,4450000,4570000,4710000,4850000,5010000,5170000,5320000,5450000,5570000,5670000,5740000,5780000,5770000,5710000,5600000,5490000,5430000,5460000,5590000,5810000,6100000,6410000,6700000,6970000,7240000,7500000,7790000,8110000,8470000,8860000,9260000,9670000,10100000,10400000,10800000,11200000,11500000,11900000,12200000,12600000
Spain,30500000,30700000,31000000,31300000,31600000,32000000,32300000,32700000,33100000,33400000,33800000,34200000,34600000,35000000,35400000,35800000,36100000,36500000,36900000,37200000,37500000,37800000,38000000,38200000,38300000,38500000,38600000,38700000,38800000,38800000,38900000,39000000,39200000,39400000,39500000,39700000,39900000,40100000,40200000,40400000,40600000,40900000,41400000,42200000,42900000,43700000,44400000,45200000,46000000,46400000,46600000,46700000,46800000,46600000,46500000,46400000,46500000,46600000
Sri Lanka,9870000,10100000,10400000,10600000,10800000,11100000,11400000,11700000,11900000,12200000,12500000,12700000,13000000,13300000,13500000,13800000,14000000,14300000,14500000,14800000,15000000,15300000,15500000,15700000,16000000,16200000,16400000,16600000,16900000,17100000,17300000,17500000,17700000,17900000,18100000,18200000,18400000,18500000,18600000,18700000,18800000,18900000,19100000,19200000,19400000,19500000,19700000,19800000,19900000,20100000,20200000,20300000,20400000,20600000,20800000,21000000,21200000,21400000
St. Kitts and Nevis,51200,51200,51000,50500,49900,49200,48400,47400,46400,45500,44900,44500,44300,44300,44300,44300,44100,43900,43700,43500,43200,43000,42800,42500,42300,42000,41700,41400,41000,40900,40800,41000,41400,41800,42400,42900,43400,43800,44300,44800,45400,46000,46600,47300,48000,48600,49200,49800,50300,50900,51400,52000,52600,53200,53700,54300,54800,55300
St. Lucia,89900,90900,92100,93400,94800,96300,97900,99500,101000,103000,104000,105000,106000,107000,109000,110000,111000,113000,115000,116000,118000,120000,121000,123000,124000,126000,129000,131000,134000,136000,138000,140000,142000,144000,145000,147000,149000,151000,153000,155000,157000,158000,160000,161000,162000,164000,165000,167000,169000,171000,173000,174000,175000,176000,176000,177000,178000,179000
St. Vincent and the Grenadines,80900,82100,83200,84200,85100,86000,86900,87700,88600,89500,90500,91400,92500,93500,94600,95600,96600,97600,98600,99600,101000,101000,102000,103000,104000,104000,105000,106000,107000,107000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,110000,110000
Sudan,7540000,7770000,8000000,8250000,8500000,8770000,9050000,9340000,9640000,9950000,10300000,10600000,11000000,11300000,11700000,12100000,12600000,13000000,13500000,14000000,14500000,15000000,15600000,16100000,16700000,17200000,17800000,18300000,18900000,19500000,20100000,20900000,21700000,22500000,23300000,24100000,24800000,25400000,26000000,26600000,27300000,27900000,28700000,29400000,30200000,30900000,31600000,32300000,33000000,33700000,34400000,35200000,36000000,36800000,37700000,38600000,39600000,40500000
Suriname,290000,298000,306000,315000,323000,332000,341000,351000,360000,367000,371000,373000,371000,368000,365000,363000,361000,361000,361000,362000,363000,363000,364000,365000,368000,371000,377000,384000,391000,399000,407000,415000,423000,430000,437000,444000,450000,456000,462000,467000,472000,478000,483000,488000,494000,499000,504000,510000,515000,521000,526000,532000,537000,543000,548000,553000,558000,563000
Sweden,7480000,7520000,7560000,7600000,7660000,7730000,7810000,7870000,7910000,7970000,8040000,8100000,8120000,8140000,8160000,8190000,8220000,8250000,8280000,8290000,8310000,8320000,8330000,8330000,8340000,8350000,8370000,8400000,8440000,8490000,8560000,8620000,8670000,8720000,8780000,8830000,8840000,8850000,8850000,8860000,8870000,8900000,8920000,8960000,8990000,9030000,9080000,9150000,9220000,9300000,9380000,9450000,9520000,9600000,9700000,9800000,9920000,10100000
Switzerland,5330000,5430000,5570000,5690000,5790000,5860000,5920000,5990000,6070000,6140000,6180000,6210000,6260000,6310000,6340000,6340000,6300000,6280000,6280000,6290000,6320000,6350000,6390000,6420000,6440000,6470000,6500000,6550000,6590000,6650000,6720000,6800000,6880000,6940000,6990000,7040000,7070000,7090000,7110000,7140000,7180000,7230000,7280000,7340000,7390000,7440000,7480000,7550000,7650000,7740000,7820000,7910000,8000000,8090000,8190000,8280000,8370000,8470000
Syria,4570000,4720000,4880000,5030000,5200000,5370000,5550000,5740000,5940000,6140000,6350000,6570000,6800000,7040000,7280000,7540000,7790000,8060000,8340000,8630000,8930000,9250000,9590000,9940000,10300000,10600000,11000000,11400000,11700000,12100000,12400000,12800000,13200000,13600000,13900000,14300000,14800000,15200000,15600000,16000000,16400000,16800000,17100000,17400000,17800000,18300000,18900000,19600000,20300000,20800000,21000000,20900000,20400000,19800000,19200000,18700000,18400000,18300000
Tajikistan,2090000,2160000,2240000,2320000,2400000,2490000,2570000,2660000,2750000,2840000,2930000,3020000,3110000,3200000,3300000,3390000,3490000,3590000,3690000,3790000,3910000,4020000,4140000,4270000,4400000,4540000,4690000,4840000,5000000,5150000,5280000,5400000,5500000,5590000,5680000,5760000,5850000,5930000,6020000,6110000,6220000,6330000,6450000,6580000,6710000,6850000,7000000,7150000,7310000,7470000,7640000,7820000,8000000,8180000,8360000,8550000,8730000,8920000
Tanzania,10100000,10400000,10700000,11000000,11300000,11700000,12000000,12400000,12800000,13200000,13600000,14000000,14500000,15000000,15500000,16000000,16500000,17000000,17600000,18100000,18700000,19300000,19900000,20500000,21200000,21800000,22500000,23200000,23900000,24700000,25500000,26300000,27200000,28100000,29100000,30000000,30800000,31600000,32500000,33300000,34200000,35100000,36100000,37100000,38200000,39400000,40600000,41900000,43300000,44700000,46100000,47600000,49100000,50600000,52200000,53900000,55600000,57300000
Thailand,27400000,28200000,29100000,30000000,30900000,31800000,32800000,33800000,34800000,35800000,36900000,38000000,39100000,40200000,41300000,42300000,43400000,44400000,45400000,46400000,47400000,48300000,49300000,50200000,51100000,52000000,53000000,54000000,54900000,55800000,56600000,57300000,57800000,58400000,58900000,59500000,60200000,60900000,61600000,62300000,63000000,63500000,64100000,64600000,65000000,65400000,65800000,66200000,66500000,66900000,67200000,67500000,67800000,68100000,68400000,68700000,68900000,69000000
Timor-Leste,500000,509000,518000,528000,538000,548000,559000,569000,580000,592000,605000,621000,638000,654000,664000,665000,655000,636000,614000,596000,588000,591000,604000,625000,647000,667000,684000,700000,714000,731000,752000,777000,805000,834000,857000,871000,876000,872000,865000,863000,872000,893000,924000,961000,997000,1030000,1050000,1060000,1080000,1090000,1110000,1130000,1160000,1180000,1210000,1240000,1270000,1300000
Togo,1580000,1600000,1610000,1630000,1660000,1710000,1770000,1860000,1950000,2030000,2120000,2190000,2250000,2300000,2360000,2410000,2460000,2520000,2580000,2640000,2720000,2810000,2920000,3030000,3140000,3250000,3360000,3470000,3580000,3690000,3790000,3880000,3970000,4060000,4160000,4270000,4400000,4530000,4680000,4830000,4970000,5110000,5250000,5390000,5530000,5680000,5840000,6000000,6160000,6330000,6500000,6680000,6860000,7040000,7230000,7420000,7610000,7800000
Tonga,61600,63700,66300,69000,71800,74400,76800,79100,81100,82900,84400,85500,86300,87000,87600,88300,89300,90300,91400,92300,93000,93500,93700,93800,93800,94000,94100,94400,94700,94900,95200,95300,95500,95600,95800,96100,96400,96700,97100,97600,98100,98600,99200,99800,100000,101000,102000,102000,103000,104000,104000,105000,105000,105000,106000,106000,107000,108000
Trinidad and Tobago,848000,865000,880000,893000,903000,912000,920000,926000,931000,938000,946000,956000,969000,983000,997000,1010000,1030000,1040000,1050000,1070000,1090000,1100000,1120000,1140000,1160000,1170000,1180000,1200000,1200000,1210000,1220000,1230000,1240000,1240000,1250000,1260000,1260000,1260000,1260000,1260000,1270000,1270000,1280000,1280000,1290000,1300000,1300000,1310000,1320000,1320000,1330000,1330000,1340000,1350000,1350000,1360000,1360000,1370000
Tunisia,4180000,4240000,4300000,4380000,4460000,4550000,4640000,4740000,4840000,4950000,5060000,5170000,5290000,5410000,5530000,5650000,5780000,5920000,6050000,6210000,6370000,6550000,6730000,6930000,7130000,7320000,7510000,7690000,7870000,8050000,8230000,8420000,8600000,8780000,8960000,9110000,9260000,9380000,9500000,9600000,9700000,9790000,9860000,9940000,10000000,10100000,10200000,10300000,10400000,10500000,10600000,10800000,10900000,11000000,11100000,11300000,11400000,11500000
Turkey,27500000,28100000,28800000,29500000,30200000,31000000,31700000,32500000,33300000,34100000,34900000,35700000,36600000,37500000,38400000,39300000,40200000,41100000,42000000,43000000,44000000,45000000,46000000,47100000,48100000,49100000,50100000,51100000,52100000,53000000,53900000,54800000,55700000,56700000,57600000,58500000,59400000,60400000,61300000,62300000,63200000,64200000,65100000,66100000,67000000,67900000,68800000,69600000,70400000,71300000,72300000,73400000,74600000,75800000,77000000,78300000,79500000,80700000
Turkmenistan,1600000,1660000,1720000,1770000,1830000,1890000,1950000,2010000,2070000,2130000,2200000,2260000,2320000,2390000,2460000,2530000,2590000,2660000,2730000,2810000,2880000,2950000,3020000,3090000,3170000,3240000,3320000,3410000,3490000,3590000,3680000,3790000,3900000,4010000,4120000,4210000,4290000,4360000,4410000,4470000,4520000,4560000,4610000,4660000,4700000,4750000,4810000,4870000,4940000,5010000,5090000,5170000,5270000,5370000,5470000,5570000,5660000,5760000
Tuvalu,6100,6250,6390,6540,6680,6820,6940,7040,7130,7210,7300,7380,7460,7540,7620,7680,7750,7820,7890,7960,8050,8150,8280,8410,8530,8650,8750,8820,8880,8950,9000,9050,9110,9160,9190,9230,9260,9280,9310,9350,9420,9510,9640,9770,9890,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200
Uganda,6790000,7010000,7240000,7490000,7750000,8010000,8290000,8580000,8870000,9160000,9450000,9720000,9990000,10300000,10500000,10800000,11100000,11500000,11800000,12200000,12500000,12900000,13300000,13700000,14200000,14600000,15200000,15700000,16300000,16800000,17400000,18000000,18700000,19300000,19900000,20600000,21200000,21900000,22600000,23300000,24000000,24900000,25700000,26600000,27600000,28500000,29600000,30600000,31700000,32800000,33900000,35100000,36300000,37600000,38800000,40100000,41500000,42900000
Ukraine,42700000,43200000,43700000,44300000,44800000,45300000,45700000,46100000,46400000,46700000,47100000,47400000,47800000,48100000,48500000,48800000,49000000,49300000,49500000,49800000,50000000,50200000,50400000,50600000,50800000,50900000,51100000,51300000,51500000,51800000,51900000,52000000,52200000,52200000,51900000,51500000,51100000,50600000,50100000,49700000,49200000,48700000,48200000,47800000,47500000,47100000,46800000,46500000,46300000,46100000,45900000,45700000,45600000,45500000,45300000,45200000,45000000,44800000
United Arab Emirates,92600,101000,112000,126000,139000,150000,160000,170000,183000,204000,235000,279000,333000,397000,471000,554000,647000,748000,852000,952000,1040000,1120000,1190000,1250000,1320000,1390000,1470000,1560000,1660000,1760000,1860000,1970000,2090000,2210000,2330000,2450000,2570000,2700000,2840000,2990000,3150000,3330000,3510000,3740000,4090000,4580000,5240000,6040000,6890000,7670000,8270000,8670000,8900000,9010000,9070000,9150000,9270000,9400000
